home_team,away_team,home_times,away_times,home_win,away_win,home_goals,away_goals,home_r_win,away_r_win,home_Ave_goal,away_Ave_goal,result
Germany,Belgium,48,43,35,21,104,54,0.7291666666666666,0.4883720930232558,2.1666666666666665,1.255813953488372,1
Spain,Brazil,59,108,34,75,92,225,0.576271186440678,0.6944444444444444,1.5593220338983051,2.083333333333333,1
Italy,USA,83,34,52,12,128,38,0.6265060240963856,0.3529411764705882,1.5421686746987953,1.1176470588235294,1
Czechoslovakia,Romania,30,21,15,11,44,30,0.5,0.5238095238095238,1.4666666666666666,1.4285714285714286,1
Czechoslovakia,Switzerland,30,34,15,14,44,45,0.5,0.4117647058823529,1.4666666666666666,1.3235294117647058,1
Germany,Sweden,48,46,35,22,104,74,0.7291666666666666,0.4782608695652174,2.1666666666666665,1.608695652173913,1
Italy,Spain,83,59,52,34,128,92,0.6265060240963856,0.576271186440678,1.5421686746987953,1.5593220338983051,0
Austria,Hungary,29,32,15,16,43,87,0.5172413793103449,0.5,1.4827586206896552,2.71875,1
Italy,Spain,83,59,52,34,128,92,0.6265060240963856,0.576271186440678,1.5421686746987953,1.5593220338983051,1
Italy,Austria,83,29,52,15,128,43,0.6265060240963856,0.5172413793103449,1.5421686746987953,1.4827586206896552,1
Czechoslovakia,Germany,30,48,15,35,44,104,0.5,0.7291666666666666,1.4666666666666666,2.1666666666666665,1
Germany,Austria,48,29,35,15,104,43,0.7291666666666666,0.5172413793103449,2.1666666666666665,1.4827586206896552,1
Italy,Czechoslovakia,83,30,52,15,128,44,0.6265060240963856,0.5,1.5421686746987953,1.4666666666666666,1
Switzerland,Germany,34,48,14,35,45,104,0.4117647058823529,0.7291666666666666,1.3235294117647058,2.1666666666666665,0
France,Belgium,61,43,35,21,108,54,0.5737704918032787,0.4883720930232558,1.7704918032786885,1.255813953488372,1
Cuba,Romania,3,21,1,11,5,30,0.3333333333333333,0.5238095238095238,1.6666666666666667,1.4285714285714286,0
Italy,Norway,83,8,52,5,128,7,0.6265060240963856,0.625,1.5421686746987953,0.875,1
Brazil,Poland,108,31,75,18,225,44,0.6944444444444444,0.5806451612903226,2.083333333333333,1.4193548387096775,1
Czechoslovakia,Netherlands,30,54,15,33,44,91,0.5,0.6111111111111112,1.4666666666666666,1.6851851851851851,1
Cuba,Romania,3,21,1,11,5,30,0.3333333333333333,0.5238095238095238,1.6666666666666667,1.4285714285714286,1
Switzerland,Germany,34,48,14,35,45,104,0.4117647058823529,0.7291666666666666,1.3235294117647058,2.1666666666666665,1
Brazil,Czechoslovakia,108,30,75,15,225,44,0.6944444444444444,0.5,2.083333333333333,1.4666666666666666,0
Hungary,Switzerland,32,34,16,14,87,45,0.5,0.4117647058823529,2.71875,1.3235294117647058,1
Sweden,Cuba,46,3,22,1,74,5,0.4782608695652174,0.3333333333333333,1.608695652173913,1.6666666666666667,1
Italy,France,83,61,52,35,128,108,0.6265060240963856,0.5737704918032787,1.5421686746987953,1.7704918032786885,1
Brazil,Czechoslovakia,108,30,75,15,225,44,0.6944444444444444,0.5,2.083333333333333,1.4666666666666666,1
Hungary,Sweden,32,46,16,22,87,74,0.5,0.4782608695652174,2.71875,1.608695652173913,1
Italy,Brazil,83,108,52,75,128,225,0.6265060240963856,0.6944444444444444,1.5421686746987953,2.083333333333333,1
Brazil,Sweden,108,46,75,22,225,74,0.6944444444444444,0.4782608695652174,2.083333333333333,1.608695652173913,1
Italy,Hungary,83,32,52,16,128,87,0.6265060240963856,0.5,1.5421686746987953,2.71875,1
Brazil,Mexico,108,54,75,22,225,58,0.6944444444444444,0.4074074074074074,2.083333333333333,1.0740740740740742,1
England,Chile,62,34,35,16,79,41,0.5645161290322581,0.4705882352941176,1.2741935483870968,1.2058823529411764,1
Spain,USA,59,34,34,12,92,38,0.576271186440678,0.3529411764705882,1.5593220338983051,1.1176470588235294,1
Sweden,Italy,46,83,22,52,74,128,0.4782608695652174,0.6265060240963856,1.608695652173913,1.5421686746987953,1
Yugoslavia,Switzerland,37,34,21,14,60,45,0.5675675675675675,0.4117647058823529,1.6216216216216215,1.3235294117647058,1
Brazil,Switzerland,108,34,75,14,225,45,0.6944444444444444,0.4117647058823529,2.083333333333333,1.3235294117647058,0
Yugoslavia,Mexico,37,54,21,22,60,58,0.5675675675675675,0.4074074074074074,1.6216216216216215,1.0740740740740742,1
Spain,Chile,59,34,34,16,92,41,0.576271186440678,0.4705882352941176,1.5593220338983051,1.2058823529411764,1
Sweden,Paraguay,46,27,22,11,74,30,0.4782608695652174,0.4074074074074074,1.608695652173913,1.1111111111111112,0
USA,England,34,62,12,35,38,79,0.3529411764705882,0.5645161290322581,1.1176470588235294,1.2741935483870968,1
Brazil,Yugoslavia,108,37,75,21,225,60,0.6944444444444444,0.5675675675675675,2.083333333333333,1.6216216216216215,1
Spain,England,59,62,34,35,92,79,0.576271186440678,0.5645161290322581,1.5593220338983051,1.2741935483870968,1
Italy,Paraguay,83,27,52,11,128,30,0.6265060240963856,0.4074074074074074,1.5421686746987953,1.1111111111111112,1
Uruguay,Bolivia,52,6,25,1,80,1,0.4807692307692308,0.1666666666666666,1.5384615384615383,0.1666666666666666,1
Switzerland,Mexico,34,54,14,22,45,58,0.4117647058823529,0.4074074074074074,1.3235294117647058,1.0740740740740742,1
Chile,USA,34,34,16,12,41,38,0.4705882352941176,0.3529411764705882,1.2058823529411764,1.1176470588235294,1
Uruguay,Spain,52,59,25,34,80,92,0.4807692307692308,0.576271186440678,1.5384615384615383,1.5593220338983051,0
Brazil,Sweden,108,46,75,22,225,74,0.6944444444444444,0.4782608695652174,2.083333333333333,1.608695652173913,1
Brazil,Spain,108,59,75,34,225,92,0.6944444444444444,0.576271186440678,2.083333333333333,1.5593220338983051,1
Uruguay,Sweden,52,46,25,22,80,74,0.4807692307692308,0.4782608695652174,1.5384615384615383,1.608695652173913,1
Sweden,Spain,46,59,22,34,74,92,0.4782608695652174,0.576271186440678,1.608695652173913,1.5593220338983051,1
Uruguay,Brazil,52,108,25,75,80,225,0.4807692307692308,0.6944444444444444,1.5384615384615383,2.083333333333333,1
Uruguay,Czechoslovakia,52,30,25,15,80,44,0.4807692307692308,0.5,1.5384615384615383,1.4666666666666666,1
